"Date","Price","Condition","YearBuilt","Age","HouseType","Storey","Neighbours","Orientation","Community","M2built","M2eff","Bedrooms","Bathrooms","Bathrooms2","Elevator","Heating","Water","ParkingPlaces","Cod","CP","District","DirExacta","Type","Street","Num","Origin","Neighbourhood"
"2008-01-19",373000,"segunda mano / buen estado",NA,"no consta","  piso",NA,NA,NA,0,80,70,3,1,NA,TRUE,"individual","colectiva",0,"VC0000000988898",48004,"Otxarkoaga - Txurdinaga",TRUE,"CALLE","FERNANDO JIMENEZ","10","PARTICULAR",35
"2008-02-11",357602,"segunda mano / buen estado",NA,"no consta","  piso",NA,NA,NA,0,80,70,3,1,NA,TRUE,"individual","colectiva",0,"VC0000000988898",48004,"Otxarkoaga - Txurdinaga",TRUE,"CALLE","FERNANDO JIMENEZ","10","PARTICULAR",35
"2009-02-01",342576,"segunda mano / buen estado",NA,"no consta","  piso",NA,NA,NA,0,80,70,3,1,NA,TRUE,"individual","colectiva",0,"VC0000000988898",48004,"Otxarkoaga - Txurdinaga",TRUE,"CALLE","FERNANDO JIMENEZ","10","PARTICULAR",35
"2009-02-21",324547,"segunda mano / buen estado",NA,"no consta","  piso",NA,NA,NA,0,80,70,3,1,NA,TRUE,"individual","colectiva",0,"VC0000000988898",48004,"Otxarkoaga - Txurdinaga",TRUE,"CALLE","FERNANDO JIMENEZ","10","PARTICULAR",35
"2010-08-30",150253,"segunda mano / buen estado",NA,"no consta","  piso",NA,NA,NA,NA,60,NA,3,1,NA,FALSE,"desc/no tiene",NA,0,"VC0000003391181",48004,"Otxarkoaga - Txurdinaga",TRUE,"CALLE","LARRATUNDU","13","PARTICULAR",28
"2010-01-28",420000,"segunda mano / buen estado",NA,"20-30 años","  piso",16,4,NA,0,78,0,2,2,NA,TRUE,"central","indet",0,"VC0000002825939",48005,"Deusto",TRUE,"CAMINO","UGASKO","1","PARTICULAR",NA
"2010-05-20",150000,"segunda mano / buen estado",NA,"+ 30 años","  piso",1,4,NA,30,51,0,2,1,NA,FALSE,"desc/no tiene","central",0,"VW0000003062883",48002,"Rekalde",TRUE,"CALLE","URETAMENDI","16","PARTICULAR",36
"2010-04-19",450759,"segunda mano / buen estado",NA,"no consta","  piso",NA,NA,NA,NA,100,NA,3,2,NA,TRUE,"individual",NA,1,"VC0000003007005",48007,"Deusto",TRUE,"CAMINO","ECHEZURI","18","PARTICULAR",37
"2010-11-06",270455,"segunda mano / buen estado",NA,"20-30 años","  piso",1,4,NA,0,95,75,3,2,NA,TRUE,"individual","central",0,"VW0000003568117",48013,"Basurto - Zorroza",TRUE,"CAMINO","ZORROZGOITI","7","PARTICULAR",39
"2010-02-21",462800,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,4,"sudeste",50,101,90,2,2,NA,TRUE,"individual","central",0,"VW0000002860150",48003,"Ibaiondo",TRUE,"CALLE","BAILEN","7","PARTICULAR",30
"2010-05-17",426719,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,4,"sudeste",50,101,90,2,2,NA,TRUE,"individual","central",0,"VW0000002860150",48003,"Ibaiondo",TRUE,"CALLE","BAILEN","7","PARTICULAR",30
"2011-01-17",408688,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,4,"sudeste",50,101,90,2,2,NA,TRUE,"individual","central",0,"VW0000002860150",48003,"Ibaiondo",TRUE,"CALLE","BAILEN","7","PARTICULAR",30
"2010-03-01",292000,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,6,"sur",40,95,85,3,1,NA,TRUE,"individual","central",0,"VW0000002879669",48012,"Rekalde",TRUE,"CALLE","PARTICULAR DE GOITIA","2","PARTICULAR",NA
"2010-09-19",470000,"segunda mano / buen estado",NA,"20-30 años","  piso",9,3,"sudeste",120,146,128,4,2,NA,TRUE,"central","indet",2,"VW0000003424784",48004,"Otxarkoaga - Txurdinaga",TRUE,"CALLE","TXOMIN GARAT","13","PARTICULAR",35
"2010-10-23",463000,"segunda mano / buen estado",NA,"20-30 años","  piso",9,3,"sudeste",120,146,128,4,2,NA,TRUE,"central","indet",2,"VW0000003424784",48004,"Otxarkoaga - Txurdinaga",TRUE,"CALLE","TXOMIN GARAT","13","PARTICULAR",35
"2010-12-12",450000,"segunda mano / buen estado",NA,"20-30 años","  piso",9,3,"sudeste",120,146,128,4,2,NA,TRUE,"central","indet",2,"VW0000003424784",48004,"Otxarkoaga - Txurdinaga",TRUE,"CALLE","TXOMIN GARAT","13","PARTICULAR",35
"2011-01-23",433000,"segunda mano / buen estado",NA,"20-30 años","  piso",9,3,"sudeste",120,146,128,4,2,NA,TRUE,"central","indet",2,"VW0000003424784",48004,"Otxarkoaga - Txurdinaga",TRUE,"CALLE","TXOMIN GARAT","13","PARTICULAR",35
"2011-02-04",440000,"segunda mano / buen estado",NA,"20-30 años","  piso",9,3,"sudeste",120,146,128,4,2,NA,TRUE,"central","indet",2,"VW0000003424784",48004,"Otxarkoaga - Txurdinaga",TRUE,"CALLE","TXOMIN GARAT","13","PARTICULAR",35
"2010-08-24",230000,"segunda mano / buen estado",NA,"no consta","  piso",NA,NA,NA,NA,50,NA,2,1,NA,FALSE,"desc/no tiene",NA,0,"VC0000003379007",48007,"Uribarri",TRUE,"CALLE","PRINCIPE DE VIANA","4","PARTICULAR",26
"2010-12-11",600000,"segunda mano / buen estado",NA,"+ 30 años","  piso",7,NA,NA,0,100,90,2,2,NA,TRUE,"central","central",0,"VW0000003691022",48009,"Abando - Albia",TRUE,"CALLE","LERSUNDI","15","PARTICULAR",1
"2008-05-14",480810,"segunda mano / buen estado",NA,"5-10 años","  ático",6,4,"nordeste",40,102,90,3,2,NA,TRUE,"individual","central",1,"VW0000001519120",48015,"San Ignacio",TRUE,"CALLE","ISLAS CANARIAS","99","PARTICULAR",31
"2010-08-18",156263,"segunda mano / buen estado",NA,"no consta","  piso",NA,NA,NA,NA,40,NA,2,1,NA,FALSE,"individual",NA,0,"VC0000003366474",48013,"Basurto - Zorroza",TRUE,"CALLE","ZAZPILANDA","7","PARTICULAR",39
"2011-01-21",400000,"segunda mano / buen estado",NA,"< 5 años","  piso",5,3,NA,35,70,54,1,1,NA,TRUE,"desc/no tiene","no tiene",1,"VW0000003800778",48007,"Casco Viejo",TRUE,"PLAZA","GAS","1","PARTICULAR",NA
"2011-02-25",176000,"segunda mano / buen estado",NA,"+ 30 años","  piso",NA,NA,NA,NA,72,53,2,1,NA,FALSE,"desc/no tiene","central",0,"VP0000004129201",48004,"Otxarkoaga - Txurdinaga",TRUE,"TRAVESIA","ARBOLANTXA","10","AGENCIA",28
"2010-08-16",500000,"segunda mano / a reformar",NA,"+ 30 años","  piso",4,2,NA,70,134,113,3,2,NA,TRUE,"individual","no tiene",0,"VW0000003338087",48001,"Abando - Albia",TRUE,"CALLE","COLON DE LARREATEGUI","1","PARTICULAR",1
"2010-09-22",580000,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,3,"suroeste",120,150,130,3,3,NA,TRUE,"central","central",0,"VW0000003435823",48007,"Uribarri",TRUE,"PASEO","CAMPO VOLANTIN","29","PARTICULAR",12
"2010-06-17",476000,"segunda mano / buen estado",NA,"+ 30 años","  ático",6,4,"sur",45,84,70,2,1,NA,TRUE,"individual","central",0,"VW0000003144097",48010,"Indautxu",TRUE,"CALLE","UHAGON ALCALDE FELIPE","10","PARTICULAR",NA
"2010-06-21",489000,"segunda mano / buen estado",NA,"+ 30 años","  ático",6,4,"sur",45,84,70,2,1,NA,TRUE,"individual","central",0,"VW0000003144097",48010,"Indautxu",TRUE,"CALLE","UHAGON ALCALDE FELIPE","10","PARTICULAR",NA
"2010-09-23",453764,"segunda mano / buen estado",NA,"+ 30 años","  ático",6,4,"sur",45,84,70,2,1,NA,TRUE,"individual","central",0,"VW0000003144097",48010,"Indautxu",TRUE,"CALLE","UHAGON ALCALDE FELIPE","10","PARTICULAR",NA
"2010-10-17",462000,"segunda mano / buen estado",NA,"+ 30 años","  ático",6,4,"sur",45,84,70,2,1,NA,TRUE,"individual","central",0,"VW0000003144097",48010,"Indautxu",TRUE,"CALLE","UHAGON ALCALDE FELIPE","10","PARTICULAR",NA
"2010-12-27",448000,"segunda mano / buen estado",NA,"+ 30 años","  ático",6,4,"sur",45,84,70,2,1,NA,TRUE,"individual","central",0,"VW0000003144097",48010,"Indautxu",TRUE,"CALLE","UHAGON ALCALDE FELIPE","10","PARTICULAR",NA
"2011-04-17",168283,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,2,"sur",15,100,80,2,1,NA,FALSE,"desc/no tiene","central",0,"VW0000004085401",48006,"Ibaiondo",TRUE,"CALLE","OLLERIAS BAJAS","7","PARTICULAR",6
"2009-11-30",790000,"segunda mano / a reformar",NA,"no consta","  piso",14,NA,"sur",0,140,0,4,3,NA,TRUE,"central","indet",0,"VW0000002692350",48011,"Indautxu",TRUE,"CALLE","PARTICULAR DE ESTRAUNZA","8","PARTICULAR",NA
"2010-03-16",770000,"segunda mano / a reformar",NA,"no consta","  piso",14,NA,"sur",0,140,0,4,3,NA,TRUE,"central","indet",0,"VW0000002692350",48011,"Indautxu",TRUE,"CALLE","PARTICULAR DE ESTRAUNZA","8","PARTICULAR",NA
"2010-09-15",750000,"segunda mano / a reformar",NA,"no consta","  piso",14,NA,"sur",0,140,0,4,3,NA,TRUE,"central","indet",0,"VW0000002692350",48011,"Indautxu",TRUE,"CALLE","PARTICULAR DE ESTRAUNZA","8","PARTICULAR",NA
"2010-12-16",730000,"segunda mano / a reformar",NA,"no consta","  piso",14,NA,"sur",0,140,0,4,3,NA,TRUE,"central","indet",0,"VW0000002692350",48011,"Indautxu",TRUE,"CALLE","PARTICULAR DE ESTRAUNZA","8","PARTICULAR",NA
